date	numberOfDocuments
2018-06-09T00:00:00.000+0000	2733
2018-06-10T00:00:00.000+0000	1240
2018-06-11T00:00:00.000+0000	766
2018-06-12T00:00:00.000+0000	749
2018-06-13T00:00:00.000+0000	681
2018-06-14T00:00:00.000+0000	550
2018-06-15T00:00:00.000+0000	435
2018-06-16T00:00:00.000+0000	504
2018-06-17T00:00:00.000+0000	921
2018-06-18T00:00:00.000+0000	710
2018-06-19T00:00:00.000+0000	630
2018-06-20T00:00:00.000+0000	512
2018-06-21T00:00:00.000+0000	449
2018-06-22T00:00:00.000+0000	343
2018-06-23T00:00:00.000+0000	266
2018-06-24T00:00:00.000+0000	297
2018-06-25T00:00:00.000+0000	320
2018-06-26T00:00:00.000+0000	795
2018-06-27T00:00:00.000+0000	511
2018-06-28T00:00:00.000+0000	390
2018-06-29T00:00:00.000+0000	348
2018-06-30T00:00:00.000+0000	266
2018-07-01T00:00:00.000+0000	215
2018-07-02T00:00:00.000+0000	271
2018-07-03T00:00:00.000+0000	210
2018-07-04T00:00:00.000+0000	237
2018-07-05T00:00:00.000+0000	211
2018-07-06T00:00:00.000+0000	210
2018-07-07T00:00:00.000+0000	282
2018-07-08T00:00:00.000+0000	342
2018-07-09T00:00:00.000+0000	202
2018-07-10T00:00:00.000+0000	175
2018-07-11T00:00:00.000+0000	252
2018-07-12T00:00:00.000+0000	200
2018-07-13T00:00:00.000+0000	286
2018-07-14T00:00:00.000+0000	224
2018-07-15T00:00:00.000+0000	180
2018-07-16T00:00:00.000+0000	188
2018-07-17T00:00:00.000+0000	211
2018-07-18T00:00:00.000+0000	215
2018-07-19T00:00:00.000+0000	246
2018-07-20T00:00:00.000+0000	228
2018-07-21T00:00:00.000+0000	233
2018-07-22T00:00:00.000+0000	258
2018-07-23T00:00:00.000+0000	248
2018-07-24T00:00:00.000+0000	276
2018-07-25T00:00:00.000+0000	300
2018-07-26T00:00:00.000+0000	340
2018-07-27T00:00:00.000+0000	355
2018-07-28T00:00:00.000+0000	263
2018-07-29T00:00:00.000+0000	200
2018-07-30T00:00:00.000+0000	259
2018-07-31T00:00:00.000+0000	234
2018-08-01T00:00:00.000+0000	236
2018-08-02T00:00:00.000+0000	218
2018-08-03T00:00:00.000+0000	293
