"date","tot_n","weekday","keywords","keywords_n","pr","bl","prlow","prhigh","state","period"
2018-01-15,246688,"Monday","Prevention",2,0.000810740692696848,0.00307072257940697,0.0000981846099370117,0.00292864312860392,"Oregon","Baseline"
2018-01-15,246688,"Monday","Community hashtags",0,0,0.000414700296096011,0,0.00149535116146481,"Oregon","Baseline"
2018-01-16,250514,"Tuesday","Campaign",0,0,0,0,0.00147251343015743,"Oregon","Baseline"
2018-01-16,250514,"Tuesday","Prevention",4,0.00159671714954054,0.00413016349954924,0.000435053341805284,0.00408817913999053,"Oregon","Baseline"
2018-01-16,250514,"Tuesday","Community hashtags",2,0.000798358574770272,0.0005307658134016,0.0000966850734408955,0.00288391560133945,"Oregon","Baseline"
2018-01-17,259527,"Wednesday","Campaign",0,0,0,0,0.00142137551685841,"Oregon","Baseline"
2018-01-17,259527,"Wednesday","Prevention",407,0.15682376014827,0.00336388734341282,0.141966503895364,0.172811272580427,"Oregon","Baseline"
2018-01-17,259527,"Wednesday","Community hashtags",1,0.000385316364000663,0.000582913631294362,0.00000975536524113775,0.00214682646434836,"Oregon","Baseline"
2018-01-18,259223,"Thursday","Campaign",0,0,0,0,0.00142304240244588,"Oregon","Baseline"
2018-01-18,259223,"Thursday","Prevention",43,0.0165880342407888,0.00298992690005255,0.0120050945918559,0.022343330196674,"Oregon","Baseline"
2018-01-18,259223,"Thursday","Community hashtags",16,0.00617229181052607,0.000737862355016171,0.00352803791773124,0.0100232221979258,"Oregon","Baseline"
2018-01-19,268258,"Friday","Campaign",0,0,0,0,0.0013751142895651,"Oregon","Baseline"
2018-01-19,268258,"Friday","Prevention",15,0.00559163193641942,0.00344542217630394,0.00312962664133136,0.00922237909883921,"Oregon","Baseline"
2018-01-19,268258,"Friday","Community hashtags",5,0.00186387731213981,0.000390462872437494,0.000605198570575838,0.00434961382503658,"Oregon","Baseline"
2018-01-20,273772,"Saturday","Campaign",0,0,0,0,0.00134741850946621,"Oregon","Baseline"
2018-01-20,273772,"Saturday","Prevention",6,0.00219160469295618,0.00321724002920507,0.000804284406695865,0.00477013925733413,"Oregon","Baseline"
2018-01-20,273772,"Saturday","Community hashtags",1,0.00036526744882603,0.0004308916578422,0.00000924777070468253,0.00203512297513648,"Oregon","Baseline"
2018-01-21,249441,"Sunday","Campaign",0,0,0,0,0.00147884757421376,"Oregon","Baseline"
2018-01-21,249441,"Sunday","Prevention",14,0.00561254966104209,0.00391136913000111,0.00306846600934719,0.00941672552122002,"Oregon","Baseline"
2018-01-21,249441,"Sunday","Community hashtags",2,0.000801792808720299,0.000460733407429575,0.0000971009763653798,0.00289632097588812,"Oregon","Baseline"
2018-01-22,256997,"Monday","Campaign",0,0,0,0,0.00143536810918064,"Oregon","Baseline"
2018-01-22,256997,"Monday","Prevention",6,0.00233465760300704,0.00307072257940697,0.000856782857537823,0.00508149692691811,"Oregon","Baseline"
