"date","tot_n","keywords","keywords_n","pr","prlow","prhigh","state","period"
2018-01-31,270636,"Breaking the silence",0,0,0,0.00136303164167359,"Oregon","Baseline"
2018-01-31,270636,"Lifeline",25,0.00923749981525,0.00597810920786538,0.0136360720640826,"Oregon","Baseline"
2018-02-01,249099,"Breaking the silence",0,0,0,0.00148087794015451,"Oregon","Baseline"
2018-02-01,249099,"Lifeline",5,0.00200723407159403,0.000651746548387841,0.00468415204417271,"Oregon","Baseline"
2018-02-02,247766,"Breaking the silence",0,0,0,0.0014888451172457,"Oregon","Baseline"
2018-02-02,247766,"Lifeline",4,0.00161442651534109,0.000439878584944934,0.00413352101406459,"Oregon","Baseline"
2018-02-03,213556,"Breaking the silence",0,0,0,0.00172734439406806,"Oregon","Baseline"
2018-02-03,213556,"Lifeline",19,0.00889696379403997,0.00535663567660019,0.0138933639325016,"Oregon","Baseline"
2018-02-04,210495,"Breaking the silence",0,0,0,0.00175246306605598,"Oregon","Baseline"
2018-02-04,210495,"Lifeline",11,0.00522577733437849,0.00260871715682805,0.00935016632846154,"Oregon","Baseline"
2018-02-05,257086,"Breaking the silence",0,0,0,0.00143487120602292,"Oregon","Baseline"
2018-02-05,257086,"Lifeline",5,0.0019448744778012,0.000631498367848333,0.00453862938960756,"Oregon","Baseline"
2018-02-06,229204,"Breaking the silence",0,0,0,0.00160941771055247,"Oregon","Baseline"
2018-02-06,229204,"Lifeline",14,0.00610809584474966,0.00333939178220436,0.0102481347869124,"Oregon","Baseline"
2018-02-07,240321,"Breaking the silence",0,0,0,0.00153496828927833,"Oregon","Baseline"
2018-02-07,240321,"Lifeline",9,0.00374499107443794,0.00171246223134778,0.00710904002204659,"Oregon","Baseline"
2018-02-08,235085,"Breaking the silence",0,0,0,0.00156915605500163,"Oregon","Baseline"
2018-02-08,235085,"Lifeline",15,0.00638067082119233,0.00357125559333688,0.0105237281592838,"Oregon","Baseline"
2018-02-09,231078,"Breaking the silence",0,0,0,0.00159636573366215,"Oregon","Baseline"
2018-02-09,231078,"Lifeline",4,0.00173101723227655,0.000471645885015244,0.00443203176401477,"Oregon","Baseline"
2018-02-10,207994,"Breaking the silence",0,0,0,0.00177353517035587,"Oregon","Baseline"
2018-02-10,207994,"Lifeline",8,0.00384626479609989,0.00166055829497539,0.00757853353838488,"Oregon","Baseline"
2018-02-11,194375,"Breaking the silence",0,0,0,0.00189779778791865,"Oregon","Baseline"
2018-02-11,194375,"Lifeline",4,0.00205787781350482,0.000560705198074597,0.00526889993169767,"Oregon","Baseline"
2018-02-12,211415,"Breaking the silence",0,0,0,0.00174483706054558,"Oregon","Baseline"
2018-02-12,211415,"Lifeline",2,0.000946006669347019,0.000114566001764272,0.00341725913327523,"Oregon","Baseline"
2018-02-13,228017,"Breaking the silence",0,0,0,0.00161779587257253,"Oregon","Baseline"
2018-02-13,228017,"Lifeline",2,0.000877127582592526,0.000106224395998491,0.00316845011399954,"Oregon","Baseline"
2018-02-14,241782,"Breaking the silence",0,0,0,0.00152569310931027,"Oregon","Baseline"
2018-02-14,241782,"Lifeline",8,0.00330876574765698,0.00142850067640273,0.00651948290485994,"Oregon","Baseline"
2018-02-15,269570,"Breaking the silence",0,0,0,0.00136842163977594,"Oregon","Baseline"
2018-02-15,269570,"Lifeline",5,0.00185480580183255,0.000602253049840394,0.00432844447104639,"Oregon","Baseline"
2018-02-16,258840,"Breaking the silence",0,0,0,0.00142514803278281,"Oregon","Baseline"
2018-02-16,258840,"Lifeline",4,0.00154535620460516,0.000421059107956656,0.00395667794571938,"Oregon","Baseline"
2018-02-17,225352,"Breaking the silence",0,0,0,0.00163692767842626,"Oregon","Baseline"
2018-02-17,225352,"Lifeline",3,0.00133125066562533,0.000274536733211205,0.00389042958708361,"Oregon","Baseline"
