"date","tot_n","keywords","keywords_n","pr","prlow","prhigh","state","period"
2018-01-29,357,"Breaking the silence",0,0,0,1.02797936730457,"Oregon","Baseline"
2018-01-29,357,"Lifeline",94,26.3305322128852,21.8347831804612,31.2237797684009,"Oregon","Baseline"
2018-01-30,332,"Breaking the silence",0,0,0,1.10495826020882,"Oregon","Baseline"
2018-01-30,332,"Lifeline",30,9.03614457831325,6.17979855609973,12.6481938325243,"Oregon","Baseline"
2018-01-31,251,"Breaking the silence",0,0,0,1.45892610725927,"Oregon","Baseline"
2018-01-31,251,"Lifeline",25,9.9601593625498,6.54996567280091,14.3515541141022,"Oregon","Baseline"
2018-02-01,222,"Breaking the silence",0,0,0,1.64792803524411,"Oregon","Baseline"
2018-02-01,222,"Lifeline",5,2.25225225225225,0.735251436557822,5.17745418277017,"Oregon","Baseline"
2018-02-02,299,"Breaking the silence",0,0,0,1.22615959075351,"Oregon","Baseline"
2018-02-02,299,"Lifeline",4,1.33779264214047,0.365674230375845,3.38967069083584,"Oregon","Baseline"
2018-02-03,154,"Breaking the silence",0,0,0,2.36691483725427,"Oregon","Baseline"
2018-02-03,154,"Lifeline",19,12.3376623376623,7.59415799754467,18.5947479504478,"Oregon","Baseline"
2018-02-04,156,"Breaking the silence",0,0,0,2.33692715913802,"Oregon","Baseline"
2018-02-04,156,"Lifeline",11,7.05128205128205,3.57232410727245,12.2663131506452,"Oregon","Baseline"
2018-02-05,131,"Breaking the silence",0,0,0,2.77666051100365,"Oregon","Baseline"
2018-02-05,131,"Lifeline",5,3.81679389312977,1.25072528257331,8.68229865585171,"Oregon","Baseline"
2018-02-06,165,"Breaking the silence",0,0,0,2.21087829816711,"Oregon","Baseline"
2018-02-06,165,"Lifeline",14,8.48484848484849,4.71648688063278,13.8263624320789,"Oregon","Baseline"
2018-02-07,203,"Breaking the silence",0,0,0,1.80077080249019,"Oregon","Baseline"
2018-02-07,203,"Lifeline",9,4.43349753694581,2.04703039339371,8.24906920946102,"Oregon","Baseline"
2018-02-08,307,"Breaking the silence",0,0,0,1.19439914125644,"Oregon","Baseline"
2018-02-08,307,"Lifeline",15,4.88599348534202,2.76009822449218,7.93074378403557,"Oregon","Baseline"
2018-02-09,234,"Breaking the silence",0,0,0,1.56408336857484,"Oregon","Baseline"
2018-02-09,234,"Lifeline",4,1.70940170940171,0.46766890927226,4.31867035392878,"Oregon","Baseline"
2018-02-10,143,"Breaking the silence",0,0,0,2.54664764133473,"Oregon","Baseline"
2018-02-10,143,"Lifeline",8,5.59440559440559,2.44591819941029,10.7255345810604,"Oregon","Baseline"
2018-02-11,131,"Breaking the silence",0,0,0,2.77666051100365,"Oregon","Baseline"
2018-02-11,131,"Lifeline",4,3.05343511450382,0.8381012720474,7.63343078286476,"Oregon","Baseline"
2018-02-12,127,"Breaking the silence",0,0,0,2.86285061343876,"Oregon","Baseline"
2018-02-12,127,"Lifeline",2,1.5748031496063,0.191288212279393,5.57290866940918,"Oregon","Baseline"
2018-02-13,113,"Breaking the silence",0,0,0,3.21178557457393,"Oregon","Baseline"
2018-02-13,113,"Lifeline",2,1.76991150442478,0.215067831598572,6.24741521451441,"Oregon","Baseline"
2018-02-14,130,"Breaking the silence",0,0,0,2.79771784154517,"Oregon","Baseline"
2018-02-14,130,"Lifeline",8,6.15384615384615,2.6939696125929,11.765523341385,"Oregon","Baseline"
2018-02-15,238,"Breaking the silence",0,0,0,1.5379994542969,"Oregon","Baseline"
2018-02-15,238,"Lifeline",5,2.10084033613445,0.68557280915985,4.83429327830548,"Oregon","Baseline"
2018-02-16,262,"Breaking the silence",0,0,0,1.39810372564007,"Oregon","Baseline"
2018-02-16,262,"Lifeline",4,1.52671755725191,0.417505130797306,3.86265146453845,"Oregon","Baseline"
2018-02-17,171,"Breaking the silence",0,0,0,2.13413745665029,"Oregon","Baseline"
2018-02-17,171,"Lifeline",3,1.75438596491228,0.363268203786821,5.0412333035158,"Oregon","Baseline"
2018-02-18,249,"Breaking the silence",0,0,0,1.47055780339792,"Oregon","Baseline"
2018-02-18,249,"Lifeline",5,2.00803212851406,0.65514016597248,4.62360432424954,"Oregon","Baseline"
2018-02-19,235,"Breaking the silence",0,0,0,1.55747979683157,"Oregon","Baseline"
2018-02-19,235,"Lifeline",1,0.425531914893617,0.0107729549879888,2.34797852242558,"Oregon","Baseline"
2018-02-20,197,"Breaking the silence",0,0,0,1.85510476173694,"Oregon","Baseline"
2018-02-20,197,"Lifeline",7,3.55329949238579,1.44033333906097,7.18383722513122,"Oregon","Baseline"
2018-02-21,262,"Breaking the silence",0,0,0,1.39810372564007,"Oregon","Baseline"
2018-02-21,262,"Lifeline",8,3.05343511450382,1.32729069726391,5.92760276066152,"Oregon","Baseline"
2018-02-22,364,"Breaking the silence",0,0,0,1.00831053891569,"Oregon","Baseline"
2018-02-22,364,"Lifeline",15,4.12087912087912,2.32446953305985,6.70575643766548,"Oregon","Baseline"
2018-02-23,314,"Breaking the silence",0,0,0,1.16792851524993,"Oregon","Baseline"
2018-02-23,314,"Lifeline",5,1.59235668789809,0.519003492591459,3.67670840259146,"Oregon","Baseline"
2018-02-24,297,"Breaking the silence",0,0,0,1.23436538684562,"Oregon","Baseline"
2018-02-24,297,"Lifeline",32,10.7744107744108,7.48732130293954,14.8689710966307,"Oregon","Baseline"
2018-02-25,187,"Breaking the silence",0,0,0,1.95333312869352,"Oregon","Baseline"
2018-02-25,187,"Lifeline",9,4.81283422459893,2.2240489051127,8.93940106856215,"Oregon","Baseline"
2018-02-26,189,"Breaking the silence",0,0,0,1.93286400679024,"Oregon","Baseline"
2018-02-26,189,"Lifeline",4,2.11640211640212,0.57958798968935,5.32991177387367,"Oregon","Baseline"
2018-02-27,170,"Breaking the silence",0,0,0,2.14655549809446,"Oregon","Baseline"
2018-02-27,170,"Lifeline",8,4.70588235294118,2.05327283583552,9.06166801302389,"Oregon","Baseline"
2018-02-28,204,"Breaking the silence",0,0,0,1.79202306624395,"Oregon","Baseline"
2018-02-28,204,"Lifeline",5,2.45098039215686,0.8005098786001,5.62678598233771,"Oregon","Baseline"
2018-03-01,210,"Breaking the silence",0,0,0,1.74127082678637,"Oregon","Baseline"
2018-03-01,210,"Lifeline",7,3.33333333333333,1.35047955669297,6.74706528879643,"Oregon","Baseline"
2018-03-02,179,"Breaking the silence",0,0,0,2.03973660505821,"Oregon","Baseline"
2018-03-02,179,"Lifeline",6,3.35195530726257,1.23985856011474,7.15271803772178,"Oregon","Baseline"
2018-03-03,169,"Breaking the silence",0,0,0,2.15911889482309,"Oregon","Baseline"
2018-03-03,169,"Lifeline",10,5.91715976331361,2.87366990926289,10.6124836600429,"Oregon","Baseline"
2018-03-04,137,"Breaking the silence",0,0,0,2.65668510962833,"Oregon","Baseline"
2018-03-04,137,"Lifeline",8,5.83941605839416,2.5544745103744,11.1817291497687,"Oregon","Baseline"
2018-03-05,130,"Breaking the silence",0,0,0,2.79771784154517,"Oregon","Baseline"
2018-03-05,130,"Lifeline",5,3.84615384615385,1.26043623447552,8.74735730698072,"Oregon","Baseline"
2018-03-06,176,"Breaking the silence",0,0,0,2.07414177338439,"Oregon","Baseline"
2018-03-06,176,"Lifeline",29,16.4772727272727,11.3214249070202,22.7992132796293,"Oregon","Baseline"
2018-03-07,297,"Breaking the silence",0,0,0,1.23436538684562,"Oregon","Baseline"
2018-03-07,297,"Lifeline",74,24.9158249158249,20.1005347461605,30.2392623802595,"Oregon","Baseline"
2018-03-08,389,"Breaking the silence",0,0,0,0.943815893418187,"Oregon","Baseline"
2018-03-08,389,"Lifeline",26,6.68380462724936,4.41219941582246,9.64018786841445,"Oregon","Baseline"
2018-03-09,216,"Breaking the silence",0,0,0,1.69331407369356,"Oregon","Baseline"
2018-03-09,216,"Lifeline",8,3.7037037037037,1.61232418081438,7.16708094546102,"Oregon","Baseline"
2018-03-10,210,"Breaking the silence",0,0,0,1.74127082678637,"Oregon","Baseline"
2018-03-10,210,"Lifeline",11,5.23809523809524,2.64351050903092,9.17895740192028,"Oregon","Baseline"
2018-03-11,211,"Breaking the silence",0,0,0,1.73309028750547,"Oregon","Baseline"
2018-03-11,211,"Lifeline",12,5.68720379146919,2.97285537356923,9.72360773130173,"Oregon","Baseline"
2018-03-12,195,"Breaking the silence",0,0,0,1.8739520830286,"Oregon","Baseline"
2018-03-12,195,"Lifeline",14,7.17948717948718,3.9804564402683,11.7526320099628,"Oregon","Baseline"
2018-03-13,186,"Breaking the silence",0,0,0,1.96373112639771,"Oregon","Baseline"
2018-03-13,186,"Lifeline",11,5.91397849462366,2.9888877178536,10.3352020671638,"Oregon","Baseline"
2018-03-14,191,"Breaking the silence",0,0,0,1.91281941758463,"Oregon","Baseline"
2018-03-14,191,"Lifeline",18,9.42408376963351,5.68136451572327,14.4849801894769,"Oregon","Baseline"
2018-03-15,133,"Breaking the silence",0,0,0,2.73548262840436,"Oregon","Baseline"
2018-03-15,133,"Lifeline",3,2.25563909774436,0.467604665088405,6.45035369453185,"Oregon","Baseline"
2018-03-16,184,"Breaking the silence",0,0,0,1.98486278842017,"Oregon","Baseline"
2018-03-16,184,"Lifeline",11,5.97826086956522,3.02178829752896,10.4448365274414,"Oregon","Baseline"
2018-03-17,185,"Breaking the silence",0,0,0,1.97424041421844,"Oregon","Baseline"
2018-03-17,185,"Lifeline",4,2.16216216216216,0.59218514199967,5.44320149434537,"Oregon","Baseline"
2018-03-18,111,"Breaking the silence",0,0,0,3.26869940239477,"Oregon","Baseline"
