"date","tot_n","weekday","keywords","keywords_n","pr","bl","prlow","prhigh","state","period"
2018-01-27,224377,"Saturday","Campaign",0,0,0,0,0.00164404066846942,"Oregon","Baseline"
2018-01-27,224377,"Saturday","Prevention",13,0.00579382022221529,0.00321724002920507,0.00308500016524874,0.00990740524319085,"Oregon","Baseline"
2018-01-28,214255,"Sunday","Campaign",0,0,0,0,0.00172170903742612,"Oregon","Baseline"
2018-01-28,214255,"Sunday","Prevention",4,0.00186693426057735,0.00391136913000111,0.000508679018864944,0.00478002356974288,"Oregon","Baseline"
2018-01-29,248636,"Monday","Campaign",0,0,0,0,0.00148363555128089,"Oregon","Baseline"
2018-01-29,248636,"Monday","Prevention",104,0.0418282147396194,0.00307072257940697,0.0341779214583956,0.0506796393882106,"Oregon","Baseline"
2018-01-30,271618,"Tuesday","Campaign",0,0,0,0,0.0013581038092656,"Oregon","Baseline"
2018-01-30,271618,"Tuesday","Prevention",28,0.0103085951593782,0.00413016349954924,0.00685009247083583,0.0148984482469655,"Oregon","Baseline"
2018-01-31,298489,"Wednesday","Campaign",0,0,0,0,0.0012358434179082,"Oregon","Baseline"
2018-01-31,298489,"Wednesday","Prevention",29,0.00971560090991628,0.00336388734341282,0.00650678391069462,0.0139529279036965,"Oregon","Baseline"
2018-02-01,270120,"Thursday","Campaign",0,0,0,0,0.00136563537158866,"Oregon","Baseline"
2018-02-01,270120,"Thursday","Prevention",7,0.00259144084110766,0.00298992690005255,0.00104189976572288,0.00533928520684235,"Oregon","Baseline"
2018-02-02,273068,"Friday","Campaign",0,0,0,0,0.00135089228238531,"Oregon","Baseline"
2018-02-02,273068,"Friday","Prevention",3,0.00109862744810816,0.00344542217630394,0.000226563964907691,0.0032106217083404,"Oregon","Baseline"
2018-02-03,235954,"Saturday","Campaign",0,0,0,0,0.00156337702200087,"Oregon","Baseline"
2018-02-03,235954,"Saturday","Prevention",22,0.00932385125914373,0.00321724002920507,0.00584329725562157,0.0141160845847743,"Oregon","Baseline"
2018-02-04,227971,"Sunday","Campaign",0,0,0,0,0.00161812230886505,"Oregon","Baseline"
2018-02-04,227971,"Sunday","Prevention",11,0.00482517513192468,0.00391136913000111,0.0024087338611994,0.00863340676178073,"Oregon","Baseline"
2018-02-05,282856,"Monday","Campaign",0,0,0,0,0.00130414606721211,"Oregon","Baseline"
2018-02-05,282856,"Monday","Prevention",6,0.00212122069180077,0.00307072257940697,0.00077845445899043,0.00461694680508033,"Oregon","Baseline"
