"date","ntweets"
2018-09-11,"279"
2018-09-12,"162"
2018-09-13,"172"
2018-09-14,"323"
2018-09-15,"141"
2018-09-16,"181"
2018-09-17,"176"
2018-09-18,"246"
2018-09-19,"164"
2018-09-20,"224"
2018-09-21,"377"
2018-09-22,"169"
2018-09-23,"136"
2018-09-24,"145"
2018-09-25,"148"
2018-09-26,"264"
2018-09-27,"150"
2018-09-28,"148"
2018-09-29,"142"
2018-09-30,"133"
2018-10-01,"126"
2018-10-02,"194"
2018-10-03,"169"
2018-10-04,"219"
2018-10-05,"166"
2018-10-06,"140"
2018-10-07,"138"
2018-10-08,"179"
2018-10-09,"259"
2018-10-10,"232"
2018-10-11,"176"
2018-10-12,"140"
2018-10-13,"104"
2018-10-14,"127"
2018-10-15,"180"
2018-10-16,"134"
2018-10-17,"184"
2018-10-18,"131"
2018-10-19,"138"
2018-10-20,"114"
2018-10-21,"128"
2018-10-22,"175"
2018-10-23,"196"
2018-10-24,"117"
2018-10-25,"73"
2018-10-26,"159"
2018-10-27,"103"
2018-10-28,"214"
2018-10-29,"119"
2018-10-30,"157"
2018-10-31,"147"
2018-11-01,"143"
2018-11-02,"92"
2018-11-03,"98"
2018-11-04,"111"
2018-11-05,"121"
2018-11-06,"123"
2018-11-07,"295"
2018-11-08,"225"
2018-11-09,"141"
2018-11-10,"170"
2018-11-11,"169"
2018-11-12,"159"
2018-11-13,"184"
2018-11-14,"155"
2018-11-15,"140"
2018-11-16,"162"
2018-11-17,"138"
2018-11-18,"172"
2018-11-19,"152"
2018-11-20,"235"
2018-11-21,"244"
2018-11-22,"159"
2018-11-23,"142"
2018-11-24,"170"
2018-11-25,"351"
2018-11-26,"159"
2018-11-27,"193"
2018-11-28,"211"
2018-11-29,"171"
2018-11-30,"168"
2018-12-01,"219"
2018-12-02,"210"
2018-12-03,"192"
2018-12-04,"169"
2018-12-05,"196"
2018-12-06,"164"
2018-12-07,"125"
2018-12-08,"169"
2018-12-09,"445"
2018-12-10,"310"
2018-12-11,"240"
2018-12-12,"248"
2018-12-13,"321"
2018-12-14,"242"
2018-12-15,"356"
2018-12-16,"267"
2018-12-17,"249"
