"date","ntweets"
2018-10-17,"202"
2018-10-18,"168"
2018-10-19,"269"
2018-10-20,"177"
2018-10-21,"282"
2018-10-22,"327"
2018-10-23,"225"
2018-10-24,"176"
2018-10-25,"143"
2018-10-26,"168"
2018-10-27,"104"
2018-10-28,"257"
2018-10-29,"185"
2018-10-30,"232"
2018-10-31,"252"
2018-11-01,"225"
2018-11-02,"149"
2018-11-03,"142"
2018-11-04,"131"
2018-11-05,"138"
2018-11-06,"162"
2018-11-07,"406"
2018-11-08,"237"
2018-11-09,"208"
2018-11-10,"245"
2018-11-11,"163"
2018-11-12,"207"
2018-11-13,"174"
2018-11-14,"182"
2018-11-15,"174"
2018-11-16,"247"
2018-11-17,"280"
2018-11-18,"194"
2018-11-19,"219"
2018-11-20,"319"
2018-11-21,"274"
2018-11-22,"155"
2018-11-23,"148"
2018-11-24,"202"
2018-11-25,"391"
2018-11-26,"196"
2018-11-27,"202"
2018-11-28,"266"
2018-11-29,"196"
2018-11-30,"248"
2018-12-01,"251"
2018-12-02,"311"
2018-12-03,"191"
2018-12-04,"167"
2018-12-05,"242"
2018-12-06,"176"
2018-12-07,"154"
2018-12-08,"211"
2018-12-09,"489"
2018-12-10,"356"
2018-12-11,"257"
2018-12-12,"291"
2018-12-13,"245"
2018-12-14,"302"
2018-12-15,"408"
2018-12-16,"326"
2018-12-17,"255"
2018-12-18,"370"
2018-12-19,"403"
2018-12-20,"237"
2018-12-21,"175"
2018-12-22,"141"
2018-12-23,"325"
2018-12-24,"444"
2018-12-25,"330"
2018-12-26,"264"
2018-12-27,"280"
2018-12-28,"324"
2018-12-29,"212"
2018-12-30,"232"
2018-12-31,"284"
2019-01-01,"363"
2019-01-02,"180"
2019-01-03,"111"
2019-01-04,"127"
2019-01-05,"102"
2019-01-06,"147"
2019-01-07,"221"
2019-01-08,"273"
2019-01-09,"253"
2019-01-10,"211"
2019-01-11,"345"
2019-01-12,"162"
2019-01-13,"140"
2019-01-14,"153"
2019-01-15,"763"
2019-01-16,"471"
2019-01-17,"339"
2019-01-18,"341"
2019-01-19,"218"
2019-01-20,"348"
2019-01-21,"235"
2019-01-22,"219"
2019-01-23,"262"
2019-01-24,"227"
2019-01-25,"188"
2019-01-26,"166"
2019-01-27,"370"
2019-01-28,"268"
2019-01-29,"318"
2019-01-30,"472"
2019-01-31,"246"
2019-02-01,"177"
2019-02-02,"186"
2019-02-03,"214"
2019-02-04,"188"
2019-02-05,"187"
2019-02-06,"308"
2019-02-07,"191"
2019-02-08,"232"
2019-02-09,"391"
2019-02-10,"538"
2019-02-11,"252"
2019-02-12,"220"
2019-02-13,"262"
2019-02-14,"278"
2019-02-15,"223"
2019-02-16,"150"
2019-02-17,"209"
2019-02-18,"262"
2019-02-19,"216"
2019-02-20,"263"
2019-02-21,"201"
2019-02-22,"340"
2019-02-23,"230"
2019-02-24,"218"
2019-02-25,"253"
2019-02-26,"230"
2019-02-27,"211"
2019-02-28,"281"
2019-03-01,"146"
2019-03-02,"225"
2019-03-03,"273"
2019-03-04,"398"
2019-03-05,"402"
2019-03-06,"343"
2019-03-07,"248"
2019-03-08,"126"
2019-03-09,"107"
2019-03-10,"257"
2019-03-11,"184"
2019-03-12,"197"
2019-03-13,"215"
2019-03-14,"300"
2019-03-15,"212"
2019-03-16,"130"
2019-03-17,"161"
2019-03-18,"335"
2019-03-19,"329"
2019-03-20,"299"
2019-03-21,"344"
2019-03-22,"479"
2019-03-23,"1025"
2019-03-24,"1273"
2019-03-25,"708"
2019-03-26,"372"
2019-03-27,"412"
2019-03-28,"377"
2019-03-29,"205"
2019-03-30,"162"
2019-03-31,"181"
2019-04-01,"266"
2019-04-02,"323"
2019-04-03,"353"
2019-04-04,"315"
2019-04-05,"204"
2019-04-06,"156"
2019-04-07,"201"
2019-04-08,"185"
2019-04-09,"201"
2019-04-10,"218"
2019-04-11,"220"
2019-04-12,"173"
2019-04-13,"185"
2019-04-14,"150"
2019-04-15,"219"
2019-04-16,"267"
2019-04-17,"264"
2019-04-18,"169"
2019-04-19,"149"
2019-04-20,"204"
2019-04-21,"277"
2019-04-22,"339"
2019-04-23,"388"
2019-04-24,"271"
2019-04-25,"240"
2019-04-26,"188"
2019-04-27,"217"
2019-04-28,"234"
2019-04-29,"317"
2019-04-30,"304"
2019-05-01,"270"
2019-05-02,"233"
2019-05-03,"185"
2019-05-04,"212"
2019-05-05,"195"
2019-05-06,"251"
2019-05-07,"290"
2019-05-08,"256"
2019-05-09,"179"
2019-05-10,"199"
2019-05-11,"227"
2019-05-12,"181"
2019-05-13,"309"
2019-05-14,"248"
2019-05-15,"365"
2019-05-16,"412"
